step,time,euler_x,euler_y,rk4_x,rk4_y,exact_x,exact_y,euler_error,rk4_error
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,0.1,0.15608,0.1,0.15804000000000004,0.1,0.15804,0.0019600000000000173,2.7755575615628914e-17
2,0.04,0.2,0.30824,0.2,0.3121600000000001,0.2,0.31216,0.003919999999999979,1.1102230246251565e-16
3,0.06,0.30000000000000004,0.45648,0.30000000000000004,0.4623600000000001,0.3,0.46236,0.005879999999999996,1.2412670766236366e-16
4,0.08,0.4,0.6008,0.4,0.6086400000000001,0.4,0.6086400000000001,0.00784000000000007,0.0
5,0.1,0.5,0.7412000000000001,0.5,0.7510000000000001,0.5,0.751,0.00979999999999992,1.1102230246251565e-16
6,0.12000000000000001,0.6,0.8776800000000001,0.6,0.8894400000000001,0.6000000000000001,0.88944,0.011759999999999882,1.5700924586837752e-16
7,0.14,0.7,1.0102400000000002,0.7,1.0239600000000002,0.7000000000000001,1.02396,0.013719999999999732,2.482534153247273e-16
8,0.16,0.7999999999999999,1.1388800000000003,0.7999999999999999,1.1545600000000003,0.8,1.15456,0.015679999999999694,2.482534153247273e-16
9,0.18,0.8999999999999999,1.2636000000000003,0.8999999999999999,1.2812400000000004,0.8999999999999999,1.28124,0.017639999999999656,4.440892098500626e-16
10,0.19999999999999998,0.9999999999999999,1.3844000000000003,0.9999999999999999,1.4040000000000004,0.9999999999999999,1.404,0.019599999999999618,4.440892098500626e-16
11,0.21999999999999997,1.0999999999999999,1.5012800000000004,1.0999999999999999,1.5228400000000004,1.0999999999999999,1.52284,0.02155999999999958,4.440892098500626e-16
12,0.23999999999999996,1.2,1.6142400000000006,1.2,1.6377600000000005,1.1999999999999997,1.6377599999999997,0.023519999999999097,9.155133597044475e-16
13,0.25999999999999995,1.3,1.7232800000000006,1.3,1.7487600000000008,1.2999999999999998,1.7487599999999999,0.02547999999999928,9.155133597044475e-16
14,0.27999999999999997,1.4000000000000001,1.8284000000000007,1.4000000000000001,1.8558400000000008,1.4,1.8558399999999997,0.02743999999999902,1.1322097734007351e-15
15,0.3,1.5000000000000002,1.9296000000000009,1.5000000000000002,1.959000000000001,1.5,1.9589999999999999,0.029399999999998983,1.1322097734007351e-15
16,0.32,1.6000000000000003,2.026880000000001,1.6000000000000003,2.058240000000001,1.6,2.05824,0.031359999999998944,9.155133597044475e-16
17,0.34,1.7000000000000004,2.1202400000000012,1.7000000000000004,2.153560000000001,1.7000000000000002,2.15356,0.033319999999998906,9.155133597044475e-16
18,0.36000000000000004,1.8000000000000005,2.2096800000000014,1.8000000000000005,2.244960000000001,1.8000000000000003,2.2449600000000003,0.03527999999999887,9.155133597044475e-16
19,0.38000000000000006,1.9000000000000006,2.2952000000000017,1.9000000000000006,2.3324400000000014,1.9000000000000004,2.33244,0.037239999999998386,1.3506446028928519e-15
20,0.4000000000000001,2.0000000000000004,2.3768000000000016,2.0000000000000004,2.4160000000000017,2.0000000000000004,2.4160000000000004,0.03919999999999879,1.3322676295501878e-15
21,0.4200000000000001,2.1000000000000005,2.4544800000000015,2.1000000000000005,2.4956400000000016,2.1000000000000005,2.4956400000000003,0.04115999999999875,1.3322676295501878e-15
22,0.4400000000000001,2.2000000000000006,2.5282400000000016,2.2000000000000006,2.5713600000000016,2.2000000000000006,2.5713600000000003,0.043119999999998715,1.3322676295501878e-15
23,0.46000000000000013,2.3000000000000007,2.5980800000000017,2.3000000000000007,2.6431600000000017,2.3000000000000007,2.6431600000000004,0.04507999999999868,1.3322676295501878e-15
24,0.48000000000000015,2.400000000000001,2.664000000000002,2.400000000000001,2.711040000000002,2.400000000000001,2.7110400000000006,0.04703999999999864,1.3322676295501878e-15
25,0.5000000000000001,2.500000000000001,2.726000000000002,2.500000000000001,2.775000000000002,2.5000000000000004,2.7750000000000004,0.048999999999998156,1.831026719408895e-15
26,0.5200000000000001,2.600000000000001,2.784080000000002,2.600000000000001,2.835040000000002,2.6000000000000005,2.8350400000000002,0.05095999999999812,1.831026719408895e-15
27,0.5400000000000001,2.700000000000001,2.838240000000002,2.700000000000001,2.891160000000002,2.7000000000000006,2.89116,0.05291999999999808,1.831026719408895e-15
28,0.5600000000000002,2.800000000000001,2.888480000000002,2.800000000000001,2.943360000000002,2.8000000000000007,2.94336,0.05487999999999804,1.831026719408895e-15
29,0.5800000000000002,2.9000000000000012,2.9348000000000023,2.9000000000000012,2.991640000000002,2.900000000000001,2.9916400000000003,0.056839999999998,1.831026719408895e-15
30,0.6000000000000002,3.0000000000000013,2.9772000000000025,3.0000000000000013,3.0360000000000023,3.000000000000001,3.0360000000000005,0.058799999999997965,1.831026719408895e-15
